TripId	Empcode	NodalName
203843	E114007	Thiruvottiyur Ajex Bus Stop
203816	M0949008	Mogappair 7H Bus Stop
203822	M0136428	Kolathur Moogambigai Kovil Bus Stop
203826	M0846942	Kolathur DRJ Hospital
203760	M0441311	Anna Nagar West Bus Stop
203778	M0846386	Vadapalani Ambika Empire
203861	M0847415	Thirunindravur Railway Station
203818	M0339873	Mugallivakam Bus Stop
203833	M0745520	Madhavaram Arul Nagar Bus Stop
203811	K1125992	Velacherry 100 Ft Road
203899	N0452043	Mangadu Bus Stop
203849	M0846834	Tondiarpet Apollo Hospital
203847	N0250950	Old Washermenpet Bus Stop
203846	M0440788	Kovilambakkam Bus Stop
203892	L0730502	Surapet Shanmugapuram
203824	N0452044	Pallikaranai Bus Stop
203874	M0441152	Avadi Paruthipattu
203756	N0150659	Porur Gerugambakkam
203768	K1226563	Choolaimedu Bus Stop
203814	N0351749	Thiruvanmiyur RTO Office
203946	M0644469	Santhome Church
203750	N0351244	Adambakkam NGO Colony bus Stop
203761	M0847129	Guindy Butt Road
203798	M0440988	Mudichur Bus Stop
203880	M0340198	Thirumulaivoyal Bus Stop
203754	M0339431	Thiruverkadu Bus Depot
203752	L0932644	Poonamallee Kattupakkam Bus Stop
203863	M0238806	Thirunindravur Railway Station
203768	M0238078	Choolaimedu Gill Nagar Park
203793	E032312	Tambaram Camp Road
203945	M0137632	Mugallivakam Bus Stop
203786	L1235549	Maduravoyal EB office
203842	M0644338	Thiruvottiyur Ajex Bus Stop
203834	M1049182	Madhavaram Thapalpetti
203823	M0744922	Kolathur TVK Nagar Bus Stop
203833	N0452361	Madhavaram MMC Bus Stop
203764	M0846818	Chepauk Stadium Bus Stop
203776	L1134462	Ekkatuthangal Bus Stop
203813	M0340363	Medavakkam Bus Stop
203841	M0644219	Padi Lucas Bus Stop
203828	M0745697	Kolathur Teachers Colony
203891	N0452343	Redhills Bus Stop
203896	N0452275	Menambedu Alamaram Bus Stop
203867	N0552577	Thirunindravur Railway Station
203776	N0452314	Ekkatuthangal Bus Stop
203835	L1134541	Madipakkam Bus Stop
203899	M0543019	Poonamallee Kumananchavadi Bus Stop
203777	N0452288	Vadapalani Signal
203825	N0653386	Padi Lucas Bus Stop
203816	N0351786	Arasamaram Ramapuram
203844	M0340753	Thiruvottiyur Theradi Bus Stop
203858	L1134719	Perambur Barracks Road
203832	M0846803	Mathur Bus Stop
203829	M0238692	Ambattur Mannurpet Bus Stop
203749	J1123034	Medavakkam Koot Road
203838	L0932447	Kodungaiyur Parvathi Nagar
203857	M0948344	Kilkattalai Bus Depot
203776	M0948508	Ekkatuthangal Bus Stop
203779	M0543264	K K Nagar Sivan Park
203750	K0724949	Adambakkam NGO Colony bus Stop
203833	M0441146	Madhavaram Arul Nagar Bus Stop
203849	M0847772	Old Washermenpet Bus Stop
203835	K0624711	Madipakkam Ram Nagar
203893	N0553027	Kallikuppam Arch Bus Stop
203861	N0452205	Thirunindravur Bus Stop
203948	M0948276	Villivakkam Subway
203836	N0552959	Madhavaram Bus Stop
203899	M0340486	Karayanchavadi Bus Stop
203821	N0452462	Perambur Venus Bus Stop
203834	N0452479	Madhavaram Bus Stop
203872	L0227533	Avadi Checkpost
203847	N0653381	Old Washermanpet Maharani bus stop
203822	N0351620	Padi Brittania Bus Stop
203881	M1149773	Ambattur Canara Bank
